Partition,Algorithm,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,Predict.nDCG,TopN.nDCG,MAP,MRR
5,popular,0.067,0.587,,,,,,0.12945126057980405,0.17636945386096553,0.2167186976952779
5,svd,15.022,0.6980000000000001,172,860,860,1.0,0.9759493575854614,0.05737447190639062,0.09957651895228391,0.10551678805350773
5,lucene,0.067,23.373,172,860,839,0.9755813953488373,0.961108521082924,0.021769767200483455,0.0293305630840711,0.02927926349446782
5,svd-log,23.45,1.8760000000000001,172,860,860,1.0,0.9622908999312407,0.12312391608804592,0.18096056865208515,0.2114320777991219
1,ii,13.165000000000001,51.114000000000004,173,865,865,1.0,0.9717403230024173,0.021552755086597174,0.035969479588545475,0.03610710689380284
5,ii,11.214,48.784,172,860,860,1.0,0.9786429854841906,0.03336252418578992,0.05650660834803666,0.058639581284253166
1,svd,12.497,0.46,173,865,865,1.0,0.9690180343022389,0.030984809854522927,0.05189859483502501,0.06028040309022042
1,svd-log,19.31,1.416,173,865,865,1.0,0.9536569964976875,0.11978029064143246,0.17915915044500333,0.21095351989587754
1,lucene,0.014,18.923000000000002,173,865,837,0.9676300578034682,0.9572006458431591,0.019109055129388344,0.0325361273737229,0.0325361273737229
1,popular,0.008,0.305,,,,,,0.11052934462643531,0.17042857125933566,0.2002035001299446
4,lucene-log,31.552,67.301,172,860,860,1.0,0.9569415561149037,0.12085448720105071,0.15788145659391906,0.1820736395723307
1,ii-log,40.386,98.70100000000001,173,865,865,1.0,0.9560165982751261,0.11233035416330275,0.16381946084145602,0.18708892935976962
1,lucene-svd-log,38.909,69.641,173,865,865,1.0,0.9544978537725394,0.11413298221786325,0.17855494325156263,0.20117505267449795
1,ii-svd-log,51.808,100.196,173,865,865,1.0,0.9566957939641386,0.10706447327950538,0.14736943618658635,0.1712792023788552
5,lucene-log,529.367,64.20100000000001,172,860,860,1.0,0.9641522951923434,0.12369820729006874,0.17620583900360506,0.20192444233434018
4,popular,0.011,0.192,,,,,,0.10882822252262551,0.138425797296274,0.15558412786335374
1,lucene-log,27.777,68.062,173,865,865,1.0,0.9541023496942473,0.11472971346013452,0.177452766539379,0.20403460244030558
4,lucene,0.004,18.518,172,860,817,0.95,0.9412965853038023,0.026211377869211135,0.023666191121433113,0.028442957988412728
4,svd-log,17.656,1.428,172,860,860,1.0,0.9560312030591187,0.11388481787173439,0.14949055782955512,0.1732140172874708
4,svd,12.009,0.373,172,860,860,1.0,0.9690009409565595,0.046912243021937194,0.07526197553536887,0.07758876169380688
2,ii,10.176,46.471000000000004,173,865,865,1.0,0.9728803249884207,0.036986547367952566,0.05075310180751908,0.05866982997675712
2,svd,11.766,0.381,173,865,865,1.0,0.973077561797568,0.05591347033852127,0.08478935991892167,0.09022828715722987
5,lucene-svd-log,626.622,65.881,172,860,860,1.0,0.9639618345526063,0.12393354055735864,0.18282587666054886,0.20751567298150936
4,ii,9.606,48.53,172,860,860,1.0,0.9693423424092334,0.03179328006988164,0.05170164787033351,0.05708259482275789
2,svd-log,18.988,1.44,173,865,865,1.0,0.9579030753797356,0.12110597395404502,0.17274000782098622,0.19809725394636551
2,lucene,0.004,18.533,173,865,834,0.9641618497109826,0.954668312974381,0.030550447498663136,0.04383011402709632,0.04746325353959512
2,popular,0.005,0.193,,,,,,0.10784807041161006,0.15131237398637865,0.17847108439123835
4,ii-svd-log,604.261,99.081,172,860,860,1.0,0.9577476481157194,0.10718920403467243,0.1424757394966112,0.1677974637168024
4,lucene-svd-log,601.057,69.423,172,860,860,1.0,0.9571853085432553,0.12127905755750744,0.15983871415430675,0.18562453973655796
3,lucene-log,30.875,72.168,172,860,860,1.0,0.9591756593562959,0.10751205032931495,0.15444386791522827,0.1702228808506239
3,popular,0.007,0.21,,,,,,0.09965806375634698,0.1356882569030573,0.1764390030573192
3,lucene,0.02,19.135,172,860,835,0.9709302325581395,0.9553915554576168,0.022876638342362605,0.02868512078257454,0.029126946230184393
3,svd-log,16.663,1.309,172,860,860,1.0,0.9587542997396372,0.11444510379041768,0.15298783679052555,0.18068649151367103
3,svd,11.747,0.359,172,860,860,1.0,0.9714244301870669,0.04194709472342624,0.06660980908087236,0.06892124416082028
2,ii-log,40.537,90.324,173,865,865,1.0,0.9595477777395228,0.11751613966232796,0.17169973046932055,0.19580313788012182
3,ii,9.63,51.069,172,860,860,1.0,0.9709639500430209,0.030635431938511624,0.04479380182441057,0.051446080424363584
2,lucene-svd-log,39.208,63.224000000000004,173,865,865,1.0,0.9594842591805125,0.12165319027501216,0.1824659970434536,0.2085845526190718
2,lucene-log,27.177,62.591,173,865,865,1.0,0.9595345234056767,0.12053380581091235,0.18244562425533328,0.20763892269685852
5,ii-log,940.357,92.09400000000001,172,860,860,1.0,0.9638980849704442,0.12546612424667447,0.1809233106939847,0.20762769665336056
5,ii-svd-log,995.139,84.589,172,860,860,1.0,0.9638616974777487,0.12550880394159675,0.1814199965348503,0.20855006654712877
2,ii-svd-log,50.02,81.101,173,865,865,1.0,0.959250320446672,0.11639484615408896,0.16683070593005064,0.19185762550134292
3,ii-svd-log,339.142,78.88,172,860,860,1.0,0.9590306365618313,0.11278852196046121,0.15737202421192248,0.1816112088898537
4,ii-log,936.349,63.997,172,860,860,1.0,0.9582760533496801,0.11172370849673754,0.15077758742675823,0.17320466480984303
3,lucene-svd-log,525.669,44.179,172,860,860,1.0,0.9596120267282762,0.10717325241106303,0.155986798851472,0.17265940079402875
3,ii-log,690.003,62.049,172,860,860,1.0,0.9598242528173111,0.11514187318226904,0.16077157522860563,0.1812241844835514
